coin,amount_max,till_date
ALPINEUSDT,179172.0,2024-02-18
TUSDT,370602.0,2024-02-18
ASTRUSDT,584370.0,2024-02-18
GMTUSDT,334698.0,2024-02-18
KDAUSDT,132162.0,2024-02-18
APEUSDT,1553885.0,2024-02-18
BSWUSDT,173784.0,2024-02-18
BIFIUSDT,57493.0,2024-02-18
MULTIUSDT,1374894.0,2024-02-18
STEEMUSDT,36622.0,2024-02-18
MOBUSDT,92996.0,2024-02-18
NEXOUSDT,48344.0,2024-02-18
REIUSDT,458970.0,2024-02-18
GALUSDT,269798.0,2024-02-18
LDOUSDT,656896.0,2024-02-18
EPXUSDT,100692.0,2023-12-03
OPUSDT,3206182.0,2024-02-18
LEVERUSDT,1619687.0,2024-02-18
STGUSDT,348804.0,2024-02-18
LUNCUSDT,495473.0,2023-12-03
GMXUSDT,424661.0,2024-02-18
POLYXUSDT,103723.0,2024-02-18
APTUSDT,1550125.0,2024-02-18
OSMOUSDT,104936.0,2024-02-18
HFTUSDT,258338.0,2024-02-18
PHBUSDT,338846.0,2024-02-18
HOOKUSDT,345039.0,2024-02-18
MAGICUSDT,518912.0,2024-02-18
HIFIUSDT,2801145.0,2024-02-18
RPLUSDT,96180.0,2024-02-18
PROSUSDT,141352.0,2024-02-18
AGIXUSDT,531857.0,2024-02-18
GNSUSDT,89135.0,2024-02-18
SYNUSDT,158126.0,2024-02-18
VIBUSDT,224491.0,2024-02-18
SSVUSDT,269767.0,2024-02-18
LQTYUSDT,957346.0,2024-02-18
AMBUSDT,839260.0,2024-02-18
USTCUSDT,369155.0,2024-02-18
GASUSDT,74723.0,2024-02-18
GLMUSDT,110063.0,2024-02-18
PROMUSDT,81370.0,2024-02-18
QKCUSDT,64483.0,2024-02-18
UFTUSDT,195399.0,2024-02-18
IDUSDT,591039.0,2024-02-18
ARBUSDT,3122772.0,2024-02-18
LOOMUSDT,4846220.0,2024-02-18
OAXUSDT,641319.0,2024-02-18
RDNTUSDT,672656.0,2024-02-18
WBTCUSDT,77372.0,2024-02-18
EDUUSDT,422601.0,2024-02-18
SUIUSDT,2271472.0,2024-02-18
AERGOUSDT,36956.0,2024-02-18
PEPEUSDT,2290931.0,2023-12-03
FLOKIUSDT,375229.0,2023-12-03
ASTUSDT,46150.0,2024-02-18
SNTUSDT,43168.0,2024-02-18
COMBOUSDT,274134.0,2024-02-18
MAVUSDT,566051.0,2024-02-18
PENDLEUSDT,345999.0,2024-02-18
ARKMUSDT,982579.0,2024-02-18
WBETHUSDT,11185.0,2024-02-18
WLDUSDT,3842802.0,2024-02-18
FDUSDUSDT,9637965.0,2024-02-18
SEIUSDT,3578762.0,2024-02-18
CYBERUSDT,7345458.0,2024-02-18
ARKUSDT,1244575.0,2024-02-18
CREAMUSDT,1049685.0,2024-02-18
GFTUSDT,1315708.0,2024-02-18
IQUSDT,73595.0,2024-02-18
NTRNUSDT,1446309.0,2024-02-18
