,coin,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt
0,RAYUSDT,14288.1,0.9455,0.9432,0.9459,13509.39855,244.6954
0,MINAUSDT,1326.1000000000001,1.2825,1.2806,1.2829,1700.7232500000002,102.85649999999998
0,C98USDT,52614.1,0.34440000000000004,0.3439,0.3457,18120.29604,7059.545640000001
0,RADUSDT,4190.0,1.948,1.943,1.949,8162.12,1327.1724
0,RAREUSDT,10864.2,0.14125,0.1409,0.1415,1534.56825,1534.56825
0,GALAUSDT,1213531.0,0.029795000000000002,0.02972,0.0298,36157.156145,22924.243205000002
0,FRONTUSDT,5060.0,0.6222000000000001,0.6213,0.624,3148.3320000000003,1462.7922
0,DEXEUSDT,3585.67,4.099,4.089,4.113,14697.66133,1138.57923
0,GTCUSDT,27.2,1.5055,1.503,1.505,40.949600000000004,0.0
0,PHAUSDT,7370.0,0.13240000000000002,0.1322,0.1326,975.7880000000001,113.20200000000001
0,PIVXUSDT,1514.0,0.34814999999999996,0.3473,0.3482,527.0990999999999,0.0
0,FIDAUSDT,10957.8,0.34704999999999997,0.3462,0.3475,3802.9044899999994,909.3404099999999
0,DYDXUSDT,4745.24,3.45,3.445,3.451,16371.078,14686.926000000001
0,ASRUSDT,353.5,2.4515000000000002,2.448,2.453,866.6052500000001,2828.5407
0,HARDUSDT,937.0,0.19979999999999998,0.1995,0.1999,187.21259999999998,62.737199999999994
0,BARUSDT,2.59,2.616,2.612,2.616,6.77544,0.0
0,XEMUSDT,1329.0,0.03798,0.03792,0.03798,50.47542,30.27006
0,RIFUSDT,1388.0,0.194,0.1937,0.194,269.272,0.0
0,DEGOUSDT,36.76,2.333,2.327,2.333,85.76108,0.0
0,PONDUSDT,24896.190000000002,0.020810000000000002,0.02078,0.02082,518.0897139000001,30.469377700000006
0,PSGUSDT,2.07,3.6975,3.692,3.696,7.6538249999999985,7.6538249999999985
0,MDXUSDT,2375.0,0.070905,0.0708,0.071,168.399375,53.901981
0,BADGERUSDT,4.76,4.057,4.051,4.056,19.311320000000002,0.0
0,REEFUSDT,1974974.0,0.0018035,0.001799,0.001805,3561.865609,771.9593189999999
0,FIROUSDT,19.8,1.774,1.771,1.773,35.1252,0.0
0,TKOUSDT,201.5,0.4501,0.449,0.45,90.69515,0.0
0,SKLUSDT,33893.0,0.0858,0.08567,0.08583,2908.0194,2244.4422
0,ALICEUSDT,658.4699999999999,1.471,1.469,1.472,968.6093699999999,11.26786
0,ROSEUSDT,77775.9,0.11904999999999999,0.11884,0.11914,9259.220894999999,1165.16616
0,LINAUSDT,309342.99,0.009585,0.009567,0.009586,2965.05255915,100.9666647
0,FISUSDT,216.0,0.43905000000000005,0.4384,0.4391,94.83480000000002,95.27385000000001
0,BAKEUSDT,2857.9,0.41090000000000004,0.4103,0.4109,1174.31111,2108.61553
0,BURGERUSDT,2113.7,0.6355,0.6348,0.636,1343.2563499999999,1350.62815
0,ORDIUSDT,159.0,63.1565,63.062,63.169,10041.8835,2979.0921049999997
0,TWTUSDT,41712.0,1.342,1.3188,1.348,55977.504,23334.696
0,ICPUSDT,1610.8100000000002,12.4215,12.403,12.423,20008.676415,198.24714
0,PERPUSDT,17830.88,1.4224999999999999,1.41909,1.42789,25364.426799999997,0.0
0,LITUSDT,4020.1,1.2240000000000002,1.221,1.225,4920.602400000001,1172.3472000000002
0,CELOUSDT,13539.0,0.87995,0.876,0.882,11913.64305,7681.787510000001
0,1INCHUSDT,11677.5,0.48675,0.486,0.4872,5684.023125000001,4028.8784250000003
0,STRAXUSDT,993.7,1.0965,1.095,1.097,1089.59205,2997.3924
0,MEMEUSDT,261997.0,0.027025,0.026982,0.027039,7080.468925,5086.456325
0,SLPUSDT,1856451.0,0.0036794999999999996,0.003674,0.003682,6830.811454499999,814.3359014999999
0,SFPUSDT,60.0,0.7895000000000001,0.7883,0.7892,47.370000000000005,0.0
0,OMUSDT,2886.0,0.2103,0.21001,0.21063,606.9258,153.93959999999998
0,SUPERUSDT,4380.0,0.9964999999999999,0.9949,0.9971,4364.67,352.76099999999997
0,UNFIUSDT,1.9,6.9575,6.947,6.954,13.219249999999999,0.0
0,MASKUSDT,6492.1,4.479,4.459,4.486,29078.1159,17607.8448
0,TRUUSDT,241399.0,0.06581500000000001,0.06565,0.066,15887.675185000004,16094.794990000002
0,ARUSDT,1434.6100000000001,14.6015,14.507,14.699,20947.457915000003,10449.563474999999
0,CFXUSDT,1408.0,0.24385,0.2435,0.2439,343.3408,0.0
0,DODOUSDT,18482.9,0.1958,0.1955,0.1958,3618.95182,129.58043999999998
0,CKBUSDT,4291602.0,0.014265,0.0141,0.014332,61219.70253,38305.219635
0,CAKEUSDT,3786.8900000000003,3.1475,3.143,3.148,11919.236275000001,11005.139325
0,GRTUSDT,670072.0,0.30045,0.3,0.3009,201323.1324,74526.32205
0,TLMUSDT,261228.0,0.01803,0.018,0.01805,4709.94084,3029.50878
0,WINGUSDT,90.66,9.264,9.25,9.27,839.8742399999999,344.6208
0,MKRUSDT,10.758000000000001,2020.0265,2017.0,2024.0,21731.445087,46.4606095
0,BLZUSDT,180.0,0.3615,0.3608,0.3612,65.07,0.0
0,FIOUSDT,80772.0,0.03347,0.03342,0.03354,2703.43884,1580.7881
