,Unnamed: 0,coin,v,price,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb
4000,6,KEYUSDT,549454.0,0.007194,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,549454.0,549454.0
4001,0,BATUSDT,1297.0,0.2588,14541.0,0.2586,0.2582,0.2589,3760.3026,344.9724,0.0,0.0
4002,1,BATUSDT,19964.0,0.2583,14541.0,0.2586,0.2582,0.2589,3760.3026,344.9724,0.0,0.0
4003,2,BATUSDT,24317.0,0.2582,14541.0,0.2586,0.2582,0.2589,3760.3026,344.9724,0.0,0.0
4004,3,BATUSDT,3124.0,0.2568,14541.0,0.2586,0.2582,0.2589,3760.3026,344.9724,3124.0,3124.0
4005,4,BATUSDT,9228.0,0.2566,14541.0,0.2586,0.2582,0.2589,3760.3026,344.9724,9228.0,9228.0
4006,0,FTMUSDT,1273.0,0.4212,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,0.0,0.0
4007,1,FTMUSDT,11240.0,0.4199,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,11240.0,11240.0
4008,0,ZILUSDT,2994.8,0.02349,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,2994.8,2994.8
4009,1,ZILUSDT,0.0,0.02016,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,0.0,0.0
4010,2,ZILUSDT,269862.9,0.0195,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,0.0,0.0
4011,0,EOSUSDT,171563.2,0.799,17052.6,0.8015000000000001,0.8,0.801,13667.6589,0.0,171563.2,171563.2
