,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
61,DATAUSDT,657180,4694715804.335004,825330570.7769641,54533141.3,58010998.8,3918412.178641,4158069.641279,4158069.641279,220813,2724049307.059608,478887596.84752804,52817640.5,65547490.8,4094709.49959,5115220.788564,5115220.788564,1622180.0999999999,0.07498,0.07273,0.0767,121631.063898,21382.728918,69229.0,2024-02-18,0,4449,1194691.239159,,,221294.81563105,,,0.5,0.8,0.9,32.2,1.2,0.8,33.7,,,,,3.3,3.4
299,ARKMUSDT,3229752,27746187967.386,3637946322.045,3284232.0,3415695.0,4650335.6469,4827789.7929,4827789.7929,1788640,21231930210.12,2783828268.9,6637076.0,9140978.0,10433892.7475,14495298.7891,14495298.7891,179308.0,1.4805000000000001,1.4334,1.5476,265465.494,34806.555,982579.0,2024-02-18,0,3225,1851019.0409,25288.440502600002,8028.422663599999,538807.38513,174207.13495612,49372.39140563,0.5,0.3,1.0,17.5,3.0,0.7,39.3,25.3,8.0,0.1,0.2,2.5,5.6
199,ALPACAUSDT,28697,421579865.40150005,135010130.619,11036633.8,11337042.5,2097170.10033,2151259.7645,2151259.7645,12726,278946128.838,89331954.34799999,28337954.8,31854525.8,5701844.90708,6438618.93152,6438618.93152,344863.3,0.195,0.1918,0.1982,67248.3435,21536.150999999998,359688.0,2024-02-18,0,370,249405.41415,,,127643.88032899999,,,0.5,0.3,1.0,31.2,3.0,0.9,84.8,,,,,8.4,22.9
77,MBLUSDT,226911,1578453141.2228096,679981440.3733615,765219890.0,885222943.0,4026560.695745,4632738.282433,4632738.282433,164358,1427260071.8339856,614849015.2081535,425726688.0,536395294.0,2393641.507326,3035877.7098540002,3035877.7098540002,11387483.0,0.0054955,0.005325,0.005544,62579.9128265,26958.7852505,77699030.0,2024-02-18,0,1792,792432.691538,25647.638306200002,1697.7966271,117278.28528390003,55134.689377279996,9227.094033390002,0.5,1.5,0.9,64.3,0.7,0.8,38.2,25.6,1.7,0.5,0.2,5.1,3.0
321,PHBUSDT,3227540,13261917080.5965,1650362936.436,1736342.0,1829099.0,2814794.7372,2957904.2135,2957904.2135,1738941,9819600171.390001,1221988048.56,3987578.0,4504478.0,7059995.7187,8012394.3463,8012394.3463,78879.0,1.7295,1.6378,1.746,136421.2305,16976.772,338846.0,2024-02-18,0,3452,1475589.0216,7402.592928,115.2810582,316328.699235,65286.332451099996,18088.81803258,0.4,0.4,1.0,20.6,2.7,0.9,51.8,7.4,0.1,0.1,0.0,1.9,4.8
67,GFTUSDT,61384,660404031.4494001,513778482.5795999,348686924.0,349196272.0,7561961.59363,7572371.9494,7572371.9494,42591,563115383.7399,438090250.20659995,96342190.0,109621780.0,2190178.52455,2501810.26999,2501810.26999,2204667.0,0.0219,0.0218,0.02231,48282.2073,37562.398199999996,1315708.0,2024-02-18,0,353,249377.16819,,,128840.05133199999,,,0.4,3.0,1.0,156.6,0.3,0.9,45.4,,,,,30.3,8.8
6,BNBUSDT,112427,48372973910.41915,25951898254.654083,728060.999,770974.695,270593148.5507,285657461.2018,285657461.2018,72327,36394609400.73176,19525555776.967186,380436.117,442306.599,144344580.7074,169059982.8496,169059982.8496,6359.934,374.361,373.8,376.7,2380911.252174,1277348.9321579998,8255880.0,2024-02-18,0,2239,11240971.1217,11267.89768,33084.95228,6433568.824152599,501141.515414,242994.561367,0.4,1.7,0.9,113.7,0.6,0.9,60.6,11.3,33.1,0.0,0.1,24.1,12.8
261,FLUXUSDT,378965,1849749945.98247,1184757208.63821,3334195.11,3369030.26,2839902.406755,2868010.610515,2868010.610515,152251,1179240314.3703,755298556.0029001,257745.81,776218.1,241151.81483599998,744327.317739,744327.317739,77526.12,0.87975,0.8576,0.919,68203.60407,43684.127010000004,200279.0,2024-02-18,0,2924,891855.122171,,,154175.92605135002,,,0.4,3.9,1.0,41.6,0.3,0.3,3.5,,,,,3.2,0.3
225,IDEXUSDT,97360,879156547.8022841,429708608.6870961,58251778.4,60527784.7,3501022.38179,3631726.178665,3631726.178665,61661,678710181.2647631,331735694.1970221,77758359.7,92854433.7,4914420.994696,5904749.352778,5904749.352778,902876.3,0.06121,0.06051,0.06217,55265.058323000005,27012.107662000006,186070.0,2024-02-18,0,1073,367032.736875,387.3549372,,128631.41064519998,39818.68579844,7928.06715209,0.4,0.6,1.0,63.3,1.6,0.8,88.9,0.4,,0.0,,9.5,13.4
85,SCUSDT,1285929,6665521347.662499,3755307724.0794997,298103817.0,308919990.0,5445807.653259,5630824.399762,5630824.399762,715789,4931740210.612499,2778507657.5534997,128520125.0,136097568.0,2535657.544413,2690145.063761,2690145.063761,6316925.0,0.0185,0.018474,0.01944,116863.11249999999,65839.8535,79392.0,2024-02-18,0,3192,959100.065024,,,331383.56351599994,,,0.4,2.1,1.0,46.6,0.5,0.9,21.7,,,,,5.7,2.6
